attempts,comments,lloc,system_access,exam_grade,events,tests,exercises_list_grade,copy_paste,syntax_error,IDE_usage,error_quotient,conditions,vars,final_grade
51.0,80,105,8,10.0,427.88,0.0,6.67,0.75,0.29,144.7,1.53,1.0,2.89,7.21
65.0,90,104,14,0.0,956.06,0.0,6.67,0.26,0.45,151.1,11.17,1.0,2.39,6.59
34.0,83,105,9,10.0,650.32,0.0,6.67,0.06,0.09,284.65,0.0,0.0,3.16,1.07
25.0,68,116,12,10.0,387.94,0.0,6.67,0.9,0.0,126.86,-1.0,1.0,3.63,6.89
47.0,69,104,11,10.0,459.94,0.0,6.67,1.1,0.28,92.53,0.0,0.37,2.33,6.82
50.0,75,104,7,5.0,448.11,0.0,6.67,1.14,0.14,106.55,0.0,1.0,3.11,6.01
72.0,109,107,12,10.0,674.56,0.0,6.67,0.56,0.07,140.28,0.0,1.0,2.89,8.25
35.0,68,104,10,5.0,255.59,0.0,6.67,2.16,0.06,107.4,-1.0,1.0,3.0,5.67
28.0,89,103,10,10.0,435.53,0.0,6.67,0.94,0.0,234.12,-1.0,1.0,3.11,7.67
82.0,78,105,10,10.0,511.12,0.0,6.67,1.21,0.29,118.24,2.29,0.37,2.67,9.34
206.0,80,103,17,10.0,819.22,0.0,6.67,0.26,0.15,326.55,3.33,0.53,2.79,6.93
76.0,80,103,16,5.0,478.82,0.0,6.67,1.74,0.11,125.87,0.0,0.37,3.05,7.37
47.0,87,99,6,0.0,607.61,0.0,6.67,0.15,0.36,204.04,1.44,0.53,2.89,0.53
45.0,53,114,17,10.0,515.71,0.0,6.67,1.48,0.24,478.95,2.89,0.37,3.58,2.38
24.0,68,111,9,10.0,301.33,0.0,6.67,1.35,0.04,75.83,-1.0,0.37,3.0,9.32
36.0,76,106,11,10.0,543.0,0.0,6.67,0.56,0.06,181.59,-1.0,0.0,3.16,5.35
10.0,44,46,4,5.0,564.38,0.0,1.81,0.0,0.1,92.48,-1.0,0.0,3.33,1.05
22.0,84,120,8,10.0,419.56,0.0,6.33,0.74,0.14,114.27,0.0,1.0,2.72,7.83
8.0,24,36,7,0.0,590.44,0.0,1.14,0.02,0.12,86.15,-1.0,0.0,1.0,0.55
127.0,90,104,12,0.0,396.06,0.0,6.67,1.76,0.44,110.27,14.39,1.0,3.05,5.53
10.0,61,67,3,0.0,50.36,0.0,3.33,18.6,0.0,12.59,-1.0,1.0,4.0,0.76
91.0,82,106,11,10.0,376.28,0.0,6.67,0.7,0.14,99.38,0.0,1.0,3.16,8.56
24.0,95,104,13,5.0,209.47,0.0,6.67,10.56,0.12,85.31,0.0,1.0,3.05,5.95
182.0,114,101,10,10.0,896.82,0.0,6.67,0.41,0.33,376.36,16.06,0.42,2.84,2.59
28.0,122,112,11,10.0,621.61,0.0,6.67,0.35,0.29,229.08,0.0,1.0,3.26,1.53
22.0,47,110,9,10.0,317.94,0.0,6.67,0.75,0.14,66.69,0.0,0.0,1.67,9.42
45.0,55,96,9,10.0,497.0,0.0,6.67,0.81,0.29,90.87,0.0,0.37,2.74,5.73
59.0,85,111,6,10.0,766.33,0.22,6.67,0.47,0.19,326.41,0.76,0.0,3.11,8.21
11.0,28,24,4,0.0,220.29,0.0,3.33,7.14,0.09,41.23,-1.0,0.0,0.0,0.0
8.0,28,24,2,0.0,216.67,0.0,3.33,1.4,0.0,29.92,-1.0,0.0,0.0,0.11
95.0,85,103,7,10.0,626.72,0.0,6.67,0.8,0.37,163.2,5.53,1.0,2.33,6.33
31.0,68,99,7,10.0,679.17,0.0,6.67,1.86,0.16,231.39,1.89,0.37,2.89,4.63
64.0,82,91,6,0.0,344.18,0.0,6.67,1.58,0.48,117.99,8.0,0.79,2.84,3.89
19.0,45,66,3,10.0,805.7,0.0,2.67,0.21,0.32,65.47,0.0,0.0,5.22,5.59
31.0,37,79,8,10.0,596.92,0.0,3.33,0.49,0.45,82.8,4.55,0.0,4.55,6.25
13.0,61,82,8,5.0,423.92,0.0,3.33,0.52,0.0,97.73,-1.0,0.0,5.0,1.03
8.0,9,12,2,5.0,988.0,0.0,0.0,0.22,0.12,0.0,-1.0,0.0,0.0,3.44
22.0,60,80,4,10.0,462.27,0.0,2.67,0.6,0.0,132.85,-1.0,1.0,4.55,4.06
616.0,9,88,9,0.0,396.06,0.0,6.33,0.19,0.88,167.6,136.73,0.0,2.88,1.98
66.0,4,105,8,0.0,356.82,0.0,6.67,0.41,0.09,87.12,0.0,0.0,2.65,5.24
37.0,9,106,6,0.0,22.35,0.0,6.67,27.91,0.38,4.96,0.0,0.0,3.06,5.0
39.0,40,100,10,0.0,290.28,0.0,6.67,7.45,0.41,70.89,2.94,0.53,2.94,5.2
51.0,39,99,12,0.0,363.81,0.0,0.0,0.01,0.29,75.0,0.81,0.41,2.82,0.0
15.0,28,24,13,0.0,164.17,0.0,0.0,5.03,0.0,33.6,-1.0,0.0,0.0,0.0
45.0,0,26,13,0.0,619.38,0.0,3.33,0.05,0.6,58.47,14.14,0.0,0.29,7.12
100.0,0,25,1,0.0,364.71,0.0,2.38,0.39,0.32,59.78,48.29,0.0,0.29,0.08
32.0,0,108,13,10.0,6.88,0.0,6.67,26.72,0.34,0.61,0.44,0.0,2.95,6.84
80.0,96,108,16,10.0,530.0,0.0,6.67,1.63,0.36,160.3,4.47,0.0,3.05,7.85
115.0,76,116,22,5.0,970.33,0.0,6.67,1.62,0.27,179.54,6.72,1.0,3.74,6.97
43.0,86,113,15,10.0,522.83,0.0,6.67,2.2,0.47,146.61,0.0,1.0,2.95,9.91
103.0,81,110,11,10.0,850.33,0.0,6.67,1.09,0.43,149.25,8.83,0.0,3.11,7.05
48.0,2,111,16,10.0,386.06,0.0,6.67,0.12,0.17,74.72,0.0,0.0,3.21,8.95
32.0,38,88,7,5.0,351.19,0.0,5.33,0.73,0.19,92.49,0.0,0.0,2.83,0.27
48.0,20,111,10,10.0,124.44,0.0,6.67,13.12,0.42,30.22,0.72,0.26,3.32,7.13
56.0,0,108,10,5.0,230.0,0.0,6.67,1.97,0.21,69.28,0.0,0.0,3.11,5.15
56.0,12,96,10,5.0,303.56,0.0,6.33,0.04,0.25,100.29,2.18,0.0,2.78,5.03
42.0,14,113,13,10.0,237.17,0.0,6.67,0.6,0.05,47.98,-1.0,0.0,3.32,3.36
52.0,19,115,5,5.0,166.61,0.0,6.67,1.54,0.1,41.8,0.0,0.0,3.68,0.0
20.0,1,101,8,0.0,7.41,0.0,6.67,18.89,0.15,0.77,0.0,0.0,2.82,6.47
69.0,8,107,9,10.0,353.67,0.0,6.67,0.84,0.17,139.83,0.0,0.0,2.56,7.91
90.0,6,105,7,0.0,331.28,0.0,6.67,0.15,0.3,88.69,3.61,0.0,2.95,7.05
26.0,14,110,14,10.0,381.32,0.0,6.67,0.9,0.04,111.1,-1.0,0.0,2.89,8.1
155.0,190,115,32,10.0,677.94,0.0,6.67,4.89,0.46,173.75,26.35,0.0,3.53,8.2
28.0,1,108,4,10.0,145.94,0.0,6.67,0.02,0.11,39.02,0.0,0.0,2.94,7.63
39.0,165,117,24,10.0,609.26,0.0,6.67,1.71,0.33,168.02,2.18,0.0,3.5,0.0
83.0,1,110,6,0.0,291.56,0.0,6.67,0.0,0.3,56.44,4.56,0.0,3.0,5.49
30.0,0,107,18,0.0,363.89,0.0,6.33,0.56,0.07,171.61,-1.0,0.0,2.78,1.57
61.0,13,108,7,10.0,558.78,0.0,6.67,0.09,0.39,141.9,8.39,0.0,2.61,8.46
22.0,1,107,9,10.0,103.17,0.0,6.67,0.99,0.0,23.4,-1.0,0.0,2.89,5.26
75.0,23,114,31,10.0,642.06,0.0,6.67,0.03,0.2,208.58,2.5,0.0,3.22,8.43
130.0,170,116,10,10.0,487.89,0.0,6.67,1.56,0.65,133.24,24.72,0.0,3.58,8.94
64.0,4,113,18,10.0,664.56,0.0,6.67,0.49,0.27,122.63,0.72,0.0,3.32,5.43
125.0,74,122,14,5.0,502.33,0.0,6.67,4.1,0.46,96.28,15.06,1.0,3.58,0.0
50.0,4,118,5,5.0,357.28,0.0,6.67,0.06,0.3,87.56,3.5,0.0,3.63,4.57
39.0,46,91,4,0.0,363.94,0.0,5.19,0.52,0.26,81.08,1.73,0.0,2.65,6.65
9.0,8,33,1,0.0,318.38,0.0,3.33,0.52,0.0,31.94,-1.0,0.25,0.57,0.11
109.0,14,109,9,0.0,504.94,0.0,6.67,0.18,0.48,90.73,8.65,0.0,2.94,6.81
39.0,4,109,6,5.0,445.42,0.0,6.67,0.2,0.21,123.43,0.0,0.0,2.61,6.21
71.0,5,108,6,5.0,542.74,0.0,6.67,0.0,0.41,122.22,3.33,0.0,3.16,6.39
70.0,17,114,6,0.0,620.56,0.0,6.67,0.0,0.6,215.96,6.18,0.0,3.37,6.58
8.0,41,25,2,0.0,209.29,0.0,3.33,1.3,0.0,30.19,-1.0,0.0,0.0,2.24
38.0,8,119,63,10.0,472.5,0.0,6.67,0.21,0.24,95.71,0.0,0.0,3.53,8.35
91.0,40,111,22,5.0,736.39,0.0,6.67,0.49,0.51,141.66,13.18,0.0,3.63,6.25
94.0,14,101,10,0.0,51.0,0.0,6.0,6.36,0.73,11.83,0.0,0.0,2.61,6.88
52.0,1,106,4,5.0,72.71,0.0,6.67,0.07,0.35,29.56,0.0,0.0,2.89,5.0
34.0,75,115,10,10.0,528.5,0.0,6.67,0.93,0.06,127.0,0.0,0.63,3.42,8.43
45.0,8,112,7,10.0,331.63,0.0,6.67,0.3,0.31,67.88,2.17,0.0,3.26,7.23
21.0,90,103,6,10.0,384.61,0.0,6.67,0.9,0.0,91.5,-1.0,0.37,2.42,7.33
148.0,150,111,7,10.0,724.72,0.0,6.67,1.44,0.41,142.25,17.59,0.0,3.32,7.61
25.0,72,105,4,10.0,413.95,0.0,6.67,0.39,0.0,112.68,-1.0,0.0,2.61,5.05
68.0,33,113,19,10.0,193.72,0.0,6.67,1.56,0.6,61.45,2.18,0.37,3.16,6.95
144.0,5,112,17,5.0,386.22,0.0,6.67,0.0,0.31,110.14,2.65,0.0,3.11,8.11
446.0,23,112,12,5.0,548.68,0.0,6.67,0.77,0.63,151.35,103.0,0.0,3.11,7.71
91.0,8,113,8,0.0,362.11,0.0,6.67,0.47,0.47,75.9,12.22,0.0,3.0,5.68
68.0,32,107,16,0.0,266.24,0.0,6.67,0.54,0.35,140.45,3.06,0.0,3.42,5.75
59.0,4,113,7,10.0,340.28,0.0,6.67,0.04,0.39,59.1,2.76,0.0,3.11,7.47
76.0,12,107,6,0.0,480.89,0.0,6.67,0.25,0.37,85.85,4.29,0.0,2.89,6.67
100.0,5,107,11,10.0,365.95,0.0,6.67,0.04,0.48,102.58,10.12,0.0,2.74,7.52
35.0,45,101,10,0.0,323.24,0.0,6.67,0.3,0.23,102.88,1.53,0.0,3.06,6.03
75.0,6,104,12,0.0,359.17,0.0,6.67,0.33,0.29,129.83,4.76,0.0,2.79,8.27
95.0,44,116,11,5.0,576.17,0.0,6.67,0.95,0.34,143.42,1.5,0.0,3.32,6.77
79.0,8,102,7,0.0,313.39,0.0,6.67,0.22,0.37,87.03,7.56,0.0,2.84,6.5
53.0,9,110,13,0.0,389.94,0.0,6.67,0.15,0.58,126.75,8.41,0.0,3.05,5.54
59.0,5,103,5,0.0,266.18,0.0,6.67,0.35,0.58,61.62,11.11,0.0,2.68,7.63
15.0,3,5,10,0.0,1755.0,0.0,0.0,0.15,0.87,0.0,62.5,0.0,5.0,7.49
102.0,22,108,7,0.0,301.44,0.0,6.67,0.19,0.57,68.1,13.89,0.0,2.89,6.1
51.0,50,87,11,0.0,375.71,0.0,3.81,0.42,0.65,73.72,5.85,0.0,3.47,5.34
63.0,9,101,7,0.0,196.0,0.0,6.67,0.22,0.22,64.01,0.0,0.0,2.94,6.77
150.0,4,113,8,0.0,535.0,0.0,6.67,0.03,0.63,124.49,14.56,0.0,3.11,5.49
44.0,78,109,12,0.0,459.89,0.0,6.67,0.96,0.23,118.26,0.72,0.0,2.95,7.11
66.0,35,119,9,5.0,489.5,0.0,6.67,20.71,0.68,89.37,6.12,0.0,3.47,5.0
138.0,21,109,11,0.0,428.94,0.0,6.67,0.2,0.57,97.86,26.39,0.0,2.68,8.19
37.0,10,105,10,0.0,196.06,0.0,6.67,15.53,0.35,48.44,0.0,0.0,2.79,7.12
248.0,3,104,8,0.0,569.75,0.0,5.24,0.58,0.93,94.32,48.27,0.0,3.53,7.42
82.0,44,112,14,0.0,409.72,0.0,6.67,0.47,0.49,79.43,8.24,0.06,2.74,7.04
91.0,7,112,14,5.0,277.5,0.0,6.67,0.02,0.45,79.1,9.0,0.06,3.11,8.7
103.0,6,96,10,0.0,430.56,0.0,6.0,0.02,0.61,146.28,13.06,0.0,2.58,5.88
86.0,2,102,5,0.0,377.59,0.0,6.67,0.24,0.53,106.1,3.53,0.0,2.74,5.89
58.0,15,103,7,0.0,413.06,0.0,6.19,0.08,0.47,117.6,6.83,0.0,2.58,1.32
105.0,13,108,6,5.0,455.5,0.0,6.67,0.11,0.38,141.75,6.47,0.0,2.95,6.92
90.0,53,103,8,0.0,339.61,0.0,6.67,0.36,0.61,96.57,25.11,0.0,2.68,0.12
